P13					P25	P25RP14	P25R1P14
update						Q1	Q24
id	Spalte	text	Keyword	property	Themenwert		
54.2	r_s	détails pornographiques	pornographiques	isabout	érotisme		
54.20	r_c	aventures romanesques (Thoms se déguise en femme de chambre...), voyages en mer, intrigue sentimentale	sentimentale	isabout	sentiment		
54.20	r_c	aventures romanesques (Thoms se déguise en femme de chambre...), voyages en mer, intrigue sentimentale	voyages	isabout	voyage		
54.23	r_c	un prince japonais est enlevé pour qu ’il puisse recevoir une meilleure éducation entre les mains d’une gouvernante européenne	éducation	isabout	éducation		
54.24	r_c	aventures galantes	galant	isabout	galanterie		
54.24	r_s	roman libertin	libertin	isabout	libertinage		
54.26	r_s	critique des mœurs	mœurs	isabout	mœurs		
54.27	r_c	intrigues politiques, éléments historiques	politique	isabout	politique		
54.27	r_c	intrigues politiques, éléments historiques	éléments historiques	isabout	histoire		
54.28	r_c	intrigues politiques, aventures sentimentales et militaires, voyages	sentimentale	isabout	sentiment		
54.28	r_c	intrigues politiques, aventures sentimentales et militaires, voyages	politique	isabout	politique		
54.28	r_c	intrigues politiques, aventures sentimentales et militaires, voyages	voyages	isabout	voyage		
54.28	r_c	intrigues politiques, aventures sentimentales et militaires, voyages	militaire	isabout	militaire		
54.29	r_c	un misogyne raconte ses aventures galantes et fait des réflexions sur les femmes	galant	isabout	galanterie		
54.29	r_s	analyse morale	morale	isabout	morale		
54.30	r_s	éléments historiques	éléments historiques	isabout	histoire		
54.30	r_c	aventures romanesques et militaires; intrigues de cour	militaire	isabout	militaire		
54.30	r_c	aventures romanesques et militaires; intrigues de cour	cour	isabout	cour		
54.31	r_c	intrigue sentimentale, aventures merveilleuses et guerrières, voyages	sentimentale	isabout	sentiment		
54.31	r_c	intrigue sentimentale, aventures merveilleuses et guerrières, voyages	merveille	isabout	miracle		
54.31	r_c	intrigue sentimentale, aventures merveilleuses et guerrières, voyages	guerrière	isabout	guerre		
54.31	r_c	intrigue sentimentale, aventures merveilleuses et guerrières, voyages	voyages	isabout	voyage		
54.5	r_c	intrigues de cour; aventures romanesques	cour	isabout	cour		
54.8	r_c	allégorie merveilleuse	merveille	isabout	miracle		
54.9	r_c	aventures galantes; après une jeunesse déréglée, le héros embrasse une vie vertueuse	galant	isabout	galanterie		
54.9	r_c	aventures galantes; après une jeunesse déréglée, le héros embrasse une vie vertueuse	vertu	isabout	vertu		
55.11	r_s	critique des mœurs, ton satirique	mœurs	isabout	mœurs		
55.12	r_c	voyages imaginaires, critique des mœurs, thèmes philosophiques	voyages	isabout	voyage		
55.12	r_c	voyages imaginaires, critique des mœurs, thèmes philosophiques	thèmes philosophiques	isabout	philosophie		
55.12	r_c	voyages imaginaires, critique des mœurs, thèmes philosophiques	mœurs	isabout	mœurs		
55.14	r_c	aventures galantes d’un jeune homme, avec critique des mœurs	galant	isabout	galanterie		
55.14	r_c	aventures galantes d’un jeune homme, avec critique des mœurs	mœurs	isabout	mœurs		
55.15	r_c	intrigue sentimentale (l’amour contre la philosophie)	sentimentale	isabout	sentiment		
55.15	r_c	intrigue sentimentale (l’amour contre la philosophie)	amour	isabout	amour		
55.18	r_c	intrigues amoureuses (un miroir révèle ce que pensent les gens qu ’on y voit)	amour	isabout	amour		
55.19	r_c	amours, aventures romanesques	amour	isabout	amour		
55.20	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
55.20	r_c	aventures romanesques et malheurs d’un enfant trouvé	malheurs	isabout	malheur		
55.22	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
55.23	r_c	aventures galantes (Sélim cherche une épouse vertueuse et finit par en trouver une à l’aide de la baguette)	galant	isabout	galanterie		
55.23	r_c	aventures galantes (Sélim cherche une épouse vertueuse et finit par en trouver une à l’aide de la baguette)	vertu	isabout	vertu		
55.24	r_c	aventures galantes (le chevalier fait sa ’confession’ à sa fiancée)	galant	isabout	galanterie		
55.26	r_c	aventures sentimentales d’une jeune femme	sentimentale	isabout	sentiment		
55.27	r_s	parodie des récits de voyages, ton pseudo-héroïque	voyages	isabout	voyage		
55.28	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
55.28	r_c	amours malheureuses	malheur	isabout	malheur		
55.28	r_c	amours malheureuses	amour	isabout	amour		
55.29	r_c	en des termes voilés, une femme galante raconte ses aventures (son ‘cabriolet’ lui attire des amants)	galant	isabout	galanterie		
55.3	r_c	aventures romanesques, voyages, intrigues sentimentales	sentimentale	isabout	sentiment		
55.3	r_c	aventures romanesques, voyages, intrigues sentimentales	voyages	isabout	voyage		
55.30	r_c	intrigues de cour et aventures sentimentales	sentimentale	isabout	sentiment		
55.30	r_c	intrigues de cour et aventures sentimentales	cour	isabout	cour		
55.31	r_c	intrigues galantes	galant	isabout	galanterie		
55.32	r_c	intrigues de cour (on invente une nouvelle voiture en l’honneur du prince Cabriolet)	cour	isabout	cour		
55.34	r_c	amours, mythologie, allégorie	amour	isabout	amour		
55.36	r_c	intrigues d’amour et de société	amour	isabout	amour		
55.37	r_c	voyages, aventures galantes et libertines	galant	isabout	galanterie		
55.37	r_c	voyages, aventures galantes et libertines	libertines	isabout	libertinage		
55.37	r_c	voyages, aventures galantes et libertines	voyages	isabout	voyage		
55.38	r_c	intrigues de cour	cour	isabout	cour		
55.40	r_c	intrigues sentimentales	sentimentale	isabout	sentiment		
55.41	r_c	aventures galantes d’une orpheline	galant	isabout	galanterie		
55.5	r_c	aventures romanesques, intrigues sentimentales, voyages	sentimentale	isabout	sentiment		
55.5	r_c	aventures romanesques, intrigues sentimentales, voyages	voyages	isabout	voyage		
55.6	r_c	la féroce madame Lescombat pousse le sensible Mongeot à tuer son mari	sensible	isabout	sentimentalisme		
55.9	r_c	aventures romanesques et galantes	galant	isabout	galanterie		
56.1	r_c	aventures amoureuses d’une jeune femme	amour	isabout	amour		
56.10	r_s	intrigues sentimentales	sentimentale	isabout	sentiment		
56.11	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
56.11	r_c	intrigues d’amour	amour	isabout	amour		
56.12	r_c	aventures galantes et romanesques	galant	isabout	galanterie		
56.14	r_c	intrigues sentimentales, amours tragiques	sentimentale	isabout	sentiment		
56.14	r_c	intrigues sentimentales, amours tragiques	amour	isabout	amour		
56.16	r_c	les aventures galantes d’un imprimeur, suivies de ses démêlés avec les autorités et de ses ennuis avec un de ses auteurs	galant	isabout	galanterie		
56.2	r_c	aventures galantes	galant	isabout	galanterie		
56.21	r_s	peinture satirique des mœurs à la manière du Diable boiteux	mœurs	isabout	mœurs		
56.23	r_c	amours romanesques et malheureuses	malheur	isabout	malheur		
56.23	r_c	amours romanesques et malheureuses	amour	isabout	amour		
56.24	r_c	critique des mœurs	mœurs	isabout	mœurs		
56.25	r_c	aventures sentimentales et romanesques	sentimentale	isabout	sentiment		
56.26	r_c	visions, aventures merveilleuses	merveille	isabout	miracle		
56.28	r_c	aventures galantes et romanesques	galant	isabout	galanterie		
56.29	r_c	intrigues de cour, histoires d’amour, aventures militaires, éléments historiques	amour	isabout	amour		
56.29	r_c	intrigues de cour, histoires d’amour, aventures militaires, éléments historiques	éléments historiques	isabout	histoire		
56.29	r_c	intrigues de cour, histoires d’amour, aventures militaires, éléments historiques	militaire	isabout	militaire		
56.29	r_c	intrigues de cour, histoires d’amour, aventures militaires, éléments historiques	cour	isabout	cour		
56.3	r_c	aventures d’un vaurien qui devient Jésuite et qui abuse de son pouvoir politique et militaire en Amérique du Sud	politique	isabout	politique		
56.3	r_c	aventures d’un vaurien qui devient Jésuite et qui abuse de son pouvoir politique et militaire en Amérique du Sud	militaire	isabout	militaire		
56.30	r_c	aventures galantes d’un jeune homme	galant	isabout	galanterie		
56.31	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
56.4	r_c	aventures galantes et conventuelles	galant	isabout	galanterie		
56.6	r_c	Intrigue sentimentale et aventures romanesques	sentimentale	isabout	sentiment		
56.8	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
56.8	r_c	aventures et malheurs romanesques	malheurs	isabout	malheur		
56.9	r_c	histoires d’amour, malheurs, avec éléments fantastiques (esprits)	malheurs	isabout	malheur		
56.9	r_c	histoires d’amour, malheurs, avec éléments fantastiques (esprits)	amour	isabout	amour		
57.1	r_c	des Anglais naufragés arrivent sur l’Île, où un Vieillard leur raconte ses aventures et les engage dans des discussions sur la religion, la morale, la politique, etc	politique	isabout	politique		
57.1	r_c	des Anglais naufragés arrivent sur l’Île, où un Vieillard leur raconte ses aventures et les engage dans des discussions sur la religion, la morale, la politique, etc	morale	isabout	morale		
57.1	r_c	des Anglais naufragés arrivent sur l’Île, où un Vieillard leur raconte ses aventures et les engage dans des discussions sur la religion, la morale, la politique, etc	naufragés	isabout	naufrage		
57.14	r_c	intrigues de cour, aventures galantes	galant	isabout	galanterie		
57.14	r_s	intentions moralisatrices, sensibilité, mélancolie	sensibilité	isabout	sentimentalisme		
57.14	r_s	intentions moralisatrices, sensibilité, mélancolie	mélancolie	isabout	mélancolie		
57.14	r_c	intrigues de cour, aventures galantes	cour	isabout	cour		
57.15	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
57.15	r_s	intentions moralisatrices, sensibilité, mélancolie	sensibilité	isabout	sentimentalisme		
57.15	r_s	intentions moralisatrices, sensibilité, mélancolie	mélancolie	isabout	mélancolie		
57.17	r_c	intrigues sentimentales et de famille	sentimentale	isabout	sentiment		
57.17	r_c	intrigues sentimentales et de famille	famille	isabout	famille		
57.2	r_c	naufrage, combats en mer, aventures sentimentales, malheurs	sentimentale	isabout	sentiment		
57.2	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
57.2	r_c	naufrage, combats en mer, aventures sentimentales, malheurs	malheurs	isabout	malheur		
57.2	r_c	naufrage, combats en mer, aventures sentimentales, malheurs	naufrage	isabout	naufrage		
57.3	r_c	éducation galante de Javotte, qui finit à l’Hôpital	galant	isabout	galanterie		
57.3	r_c	éducation galante de Javotte, qui finit à l’Hôpital	éducation	isabout	éducation		
57.7	r_c	malheurs d’une jeune fille simple et innocente	malheurs	isabout	malheur		
57.8	r_c	aventures et amours pastorales	amour	isabout	amour		
57.9	r_c	aventures sentimentales d’un jeune homme	sentimentale	isabout	sentiment		
58.1	r_s	ton satirique, réflexions philosophiques	philosophiques	isabout	philosophie		
58.10	r_c	En marge: lettres sur l’éducation; mais la 3e lettre renferme un conte moral sur l’entêtement (James et Williams cherchent la fortune à Londres)	éducation	isabout	éducation		
58.12	r_c	cadre fantaisiste: conte allégorique concernant les problèmes politiques de l’Europe	politique	isabout	politique		
58.15	r_s	réflexions philosophiques, sensibilité	sensibilité	isabout	sentimentalisme		
58.15	r_s	réflexions philosophiques, sensibilité	philosophiques	isabout	philosophie		
58.15	r_c	Lettres et réflexions, pseudo-traduction d’un vieux manuscrit écossais; Bazine (Pieté), Richer (chrétien); intrigue amoureuse	amour	isabout	amour		
58.19	r_c	intrigues politiques	politique	isabout	politique		
58.2	r_c	sensibilité, vertu	sensibilité	isabout	sentimentalisme		
58.2	r_c	sensibilité, vertu	vertu	isabout	vertu		
58.20	r_c	intrigues de cour	cour	isabout	cour		
58.4	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
58.4	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
58.6	r_c	allégorie de l’amour	amour	isabout	amour		
58.7	r_c	intrigues sentimentales	sentimentale	isabout	sentiment		
58.7	r_s	sensibilité, vertu	sensibilité	isabout	sentimentalisme		
58.7	r_s	sensibilité, vertu	vertu	isabout	vertu		
59.10	r_c	voyages, critique des mœurs et des institutions (fanatisme, droit de la propriété...)	voyages	isabout	voyage		
59.10	r_s	thèmes philosophiques	thèmes philosophiques	isabout	philosophie		
59.10	r_c	voyages, critique des mœurs et des institutions (fanatisme, droit de la propriété...)	mœurs	isabout	mœurs		
59.13	r_c	aventures merveilleuses et guerrières, éducation d’un prince	merveille	isabout	miracle		
59.13	r_c	aventures merveilleuses et guerrières, éducation d’un prince	guerrière	isabout	guerre		
59.13	r_c	aventures merveilleuses et guerrières, éducation d’un prince	éducation	isabout	éducation		
59.17	r_c	nouvelles parisiennes et incidents de la vie de province, réflexions sociales et morales	morale	isabout	morale		
59.4	r_c	campagnes militaires, avec précisions historiques (le narrateur se croit victime de l’injustice parce qu’il n’a pas pu devenir officier)	militaire	isabout	militaire		
59.7	r_s	thèmes philosophiques	thèmes philosophiques	isabout	philosophie		
59.7	r_c	intrigue peu développée, plutôt des critiques des mœurs, des institutions	mœurs	isabout	mœurs		
59.8	r_c	intrigue sentimentale, aventures romanesques	sentimentale	isabout	sentiment		
59.9	r_c	le génie voyage pour découvrir le caractère des deux nations	voyage	isabout	voyage		
60.10	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
60.15	r_c	aventures romanesques, intrigue sentimentale, voyages	sentimentale	isabout	sentiment		
60.15	r_c	aventures romanesques, intrigue sentimentale, voyages	voyages	isabout	voyage		
60.16	r_c	épisode biblique	biblique	isabout	bible		
60.19	r_c	voyages, aventures recherche du bonheur	voyages	isabout	voyage		
60.2	r_s	correspondance sentimentale	sentimentale	isabout	sentiment		
60.2	r_s	correspondance sentimentale	correspondance	isabout	correspondance littéraire		
60.20	r_c	aventures romanesques et sentimentales (un veuf élève sa fille dans les solitudes de l’Ecosse)	sentimentale	isabout	sentiment		
60.20	r_s	sensibilité, mélancolie, réflexions	sensibilité	isabout	sentimentalisme		
60.20	r_s	sensibilité, mélancolie, réflexions	mélancolie	isabout	mélancolie		
60.22	r_c	aventures d’une orpheline, voyages, peinture des mœurs, réalisme comique	voyages	isabout	voyage		
60.22	r_c	aventures d’une orpheline, voyages, peinture des mœurs, réalisme comique	mœurs	isabout	mœurs		
60.24	r_c	critique sévère des mœurs et des institutions anglaises (le Chinois considère les Anglais comme des barbares)	mœurs	isabout	mœurs		
60.25	r_c	aventures galantes d’un marchand de vin (R*** = Ramponneau, cabaretier) et ses démêlés avec le public	galant	isabout	galanterie		
60.28	r_s	sensibilité, mélancolie.	sensibilité	isabout	sentimentalisme		
60.28	r_c	démêlés de famille, voyages, aventures romanesques;	famille	isabout	famille		
