P13		P52		check	1P52		1check	2P52		2check	3P52		3check	4P52		4check	5P52		5check	6P52		6check	7P52		8P52		8check	P52RP14	1P52RP14	2P52RP14	3P52RP14	4P52RP14	5P52RP14	6P52RP14	7P52RP14	8P52RP14
update																												Q1	Q1	Q1	Q1	Q1	Q1	Q1	Q1	Q1
id	s	r_pl	P48 1 Wikidata Label			P48 2 Wikidata Label			P48 3 Wikidata Label			P48 4 Wikidata Label			P48 5 Wikidata Label			P48 6 Wikidata Label			P48 7 Wikidata Label			P48 8 Wikidata Label		P48 9 Wikidata Label										
54.28		Suisse	Suisse	https://www.wikidata.org/wiki/Q39	Ispahan	Ispahan	https://www.wikidata.org/wiki/Q42053	Inde	Inde	https://www.wikidata.org/wiki/Q668	Perse	Perse	https://www.wikidata.org/wiki/Q3746183																							
54.29																																				
54.3		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
54.30		Espagne	Espagne	https://www.wikidata.org/wiki/Q29																																
54.31		Indes	Inde	https://www.wikidata.org/wiki/Q668	aux temps des F�es	aux temps des F�es																														
54.32	*																																			
54.34		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
54.4																																				
54.5		cadre turc pseudo-historique	Turquie	https://www.wikidata.org/wiki/Q43																																
54.6	cnt	cadre fantaisiste	lieu de fiction	https://www.wikidata.org/wiki/Q3895768																																
54.7	ct	cadre fantaisiste	lieu de fiction	https://www.wikidata.org/wiki/Q3895768																																
